Control Character & Mojibake Scan
-----------------------------------
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
File: src/renderer/js/app.js | Line: 23 | Char: â | Code Point: U+00E2 | Escaped: \u00e2 | Category: Mojibake Sequence (Windows-1252/Latin1 misinterpreted as UTF-8)
